Nota,Title,Year
9.2,Cadena perpetua,1994
9.2,El padrino,1972
9.0,El padrino: Parte II,1974
9.0,El caballero oscuro,2008
8.9,12 hombres sin piedad,1957
8.9,La lista de Schindler,1993
8.9,El señor de los anillos: El retorno del rey,2003
8.9,Pulp Fiction,1994
8.8,"El bueno, el feo y el malo",1966
8.8,El club de la lucha,1999
8.8,El señor de los anillos: La comunidad del anillo,2001
8.7,Forrest Gump,1994
8.7,El imperio contraataca,1980
8.7,Origen,2010
8.7,El señor de los anillos: Las dos torres,2002
8.7,Alguien voló sobre el nido del cuco,1975
8.7,Uno de los nuestros,1990
8.6,Matrix,1999
8.6,Los siete samuráis,1954
8.6,Seven,1995
8.6,Ciudad de Dios,2002
8.6,La guerra de las galaxias,1977
8.6,El silencio de los corderos,1991
8.6,¡Qué bello es vivir!,1946
8.6,La vida es bella,1997
8.5,El viaje de Chihiro,2001
8.5,Salvar al soldado Ryan,1998
8.5,Sospechosos habituales,1995
8.5,El profesional (Léon),1994
8.5,La milla verde,1999
8.5,Interstellar,2014
8.5,Psicosis,1960
8.5,American History X,1998
8.5,Luces de la ciudad,1931
8.5,Casablanca,1942
8.5,Hasta que llegó su hora,1968
8.5,El pianista,2002
8.5,Tiempos modernos,1936
8.5,Intocable,2011
8.5,Infiltrados,2006
8.5,Regreso al futuro,1985
8.5,Terminator 2: El juicio final,1991
8.5,Whiplash,2014
8.5,El rey león,1994
8.5,La ventana indiscreta,1954
8.5,En busca del arca perdida,1981
8.5,Gladiator (El gladiador),2000
8.5,El truco final (El prestigio),2006
8.5,Spider-Man: Un nuevo universo,2018
8.4,Apocalypse Now,1979
8.4,Memento,2000
8.4,"Alien, el octavo pasajero",1979
8.4,La tumba de las luciérnagas,1988
8.4,Cinema Paradiso,1988
8.4,El gran dictador,1940
8.4,El crepúsculo de los dioses,1950
8.4,La vida de los otros,2006
8.4,¿Teléfono rojo? Volamos hacia Moscú,1964
8.4,Senderos de gloria,1957
8.4,Vengadores: Infinity War,2018
8.4,Django desencadenado,2012
8.4,El resplandor,1980
8.4,WALL·E,2008
8.4,La princesa Mononoke,1997
8.4,Testigo de cargo,1957
8.3,Old Boy,2003
8.3,El caballero oscuro: La leyenda renace,2012
8.3,Aliens: El regreso,1986
8.3,American Beauty,1999
8.3,Érase una vez en América,1984
8.3,Coco,2017
8.3,El submarino - Das Boot,1981
8.3,Ciudadano Kane,1941
8.3,Braveheart,1995
8.3,Vértigo (De entre los muertos),1958
8.3,Con la muerte en los talones,1959
8.3,Reservoir Dogs,1992
8.3,Your name.,2016
8.3,El retorno del Jedi,1983
8.3,"M, el vampiro de Düsseldorf",1931
8.3,Amadeus,1984
8.3,Réquiem por un sueño,2000
8.3,Dangal,2016
8.3,3 Idiots,2009
8.3,Taare Zameen Par,2007
8.3,2001: Una odisea del espacio,1968
8.3,Toy Story,1995
8.3,¡Olvídate de mí!,2004
8.3,Lawrence de Arabia,1962
8.3,La naranja mecánica,1971
8.3,Amelie,2001
8.3,Cantando bajo la lluvia,1952
8.3,Perdición,1944
8.3,Taxi Driver,1976
8.3,Malditos bastardos,2009
8.3,La chaqueta metálica,1987
8.3,Ladrón de bicicletas,1948
8.3,Matar a un ruiseñor,1962
8.3,El chico,1921
8.3,El indomable Will Hunting,1997
8.3,El golpe,1973
8.3,La caza,2012
8.3,Toy Story 3,2010
8.3,Snatch: Cerdos y diamantes,2000
8.2,El precio del poder,1983
8.2,La muerte tenía un precio,1965
8.2,El apartamento,1960
8.2,Los caballeros de la mesa cuadrada y sus locos seguidores,1975
8.2,Metrópolis,1927
8.2,L.A. Confidential,1997
8.2,"Nader y Simin, una separación",2011
8.2,Indiana Jones y la última cruzada,1989
8.2,Rashomon,1950
8.2,Up,2009
8.2,Eva al desnudo,1950
8.2,Batman Begins,2005
8.2,Con faldas y a lo loco,1959
8.2,Yojimbo,1961
8.2,El hundimiento,2004
8.2,Sin perdón,1992
8.2,Jungla de cristal,1988
8.2,Heat,1995
8.2,El tesoro de Sierra Madre,1948
8.2,Incendios,2010
8.2,Green Book,2018
8.2,Vivir,1952
8.2,Toro salvaje,1980
8.2,La gran evasión,1963
8.2,Children of Heaven,1997
8.2,El laberinto del fauno,2006
8.2,Chinatown,1974
8.2,Mi vecino Totoro,1988
8.2,Mi padre y mi hijo,2005
8.2,El tercer hombre,1949
8.2,El castillo ambulante,2004
8.2,Ran,1985
8.2,¿Vencedores o vencidos?,1961
8.2,El secreto de sus ojos,2009
8.2,La quimera del oro,1925
8.2,El puente sobre el río Kwai,1957
8.2,Una mente maravillosa,2001
8.2,Lock & Stock,1998
8.2,Casino,1995
8.1,El séptimo sello,1957
8.1,La ley del silencio,1954
8.1,Tres anuncios en las afueras,2017
8.1,El lobo de Wall Street,2013
8.1,El hombre elefante,1980
8.1,Del revés (Inside Out),2015
8.1,Andhadhun,2018
8.1,V de Vendetta,2005
8.1,Caballero sin espada,1939
8.1,La habitación,2015
8.1,Warrior,2011
8.1,Blade Runner,1982
8.1,Crimen perfecto,1954
8.1,No es país para viejos,2007
8.1,Pozos de ambición,2007
8.1,Fresas salvajes,1957
8.1,El maquinista de La General,1926
8.1,Trainspotting,1996
8.1,El sexto sentido,1999
8.1,Lo que el viento se llevó,1939
8.1,La cosa (El enigma de otro mundo),1982
8.1,Fargo,1996
8.1,Masacre (ven y mira),1985
8.1,Gran Torino,2008
8.1,Buscando a Nemo,2003
8.1,El cazador,1978
8.1,Shutter Island,2010
8.1,El gran Lebowski,1998
8.1,El moderno Sherlock Holmes,1924
8.1,Kill Bill: Volumen 1,2003
8.1,La leyenda del indomable,1967
8.1,Cuentos de Tokio,1953
8.1,Rebeca,1940
8.1,Mary and Max,2009
8.1,Hasta el último hombre,2016
8.1,Cómo entrenar a tu dragón,2010
8.1,Jurassic Park (Parque Jurásico),1993
8.1,Perdida,2014
8.1,Relatos salvajes,2014
8.1,Amanecer,1927
8.1,El show de Truman (Una vida en directo),1998
8.1,Stalker,1979
8.1,El gran hotel Budapest,2014
8.1,En el nombre del padre,1993
8.1,Cuenta conmigo,1986
8.1,Hacia rutas salvajes,2007
8.1,Sucedió una noche,1934
8.1,Neon Genesis Evangelion: The End of Evangelion,1997
8.1,Platoon,1986
8.1,"Network, un mundo implacable",1976
8.1,La vida de Brian,1979
8.1,Memories of Murder (Crónica de un asesino en serie),2003
8.1,Persona,1966
8.1,Ben-Hur,1959
8.1,12 años de esclavitud,2013
8.1,Hotel Rwanda,2004
8.1,Million Dollar Baby,2004
8.1,Eskiya,1996
8.1,Antes de amanecer,1995
8.1,Prisioneros,2013
8.1,El salario del miedo,1953
8.1,Mad Max: Furia en la carretera,2015
8.1,Rush,2013
8.1,Andrei Rublev,1966
8.1,Siempre a tu lado (Hachiko),2009
8.1,Los cuatrocientos golpes,1959
8.1,La pasión de Juana de Arco,1928
8.1,Logan,2017
8.1,Spotlight,2015
8.1,Amores perros,2000
8.1,Atrápame si puedes,2002
8.1,Harry Potter y las Reliquias de la Muerte - Parte 2,2011
8.1,Nausicaä del Valle del Viento,1984
8.0,La princesa prometida,1987
8.0,Rang De Basanti,2006
8.0,Dos hombres y un destino,1969
8.0,Rocky,1976
8.0,Barry Lyndon,1975
8.0,"Monstruos, S.A.",2001
8.0,Las uvas de la ira,1940
8.0,El club de los poetas muertos,1989
8.0,El halcón maltés,1941
8.0,Terminator,1984
8.0,Gandhi,1982
8.0,Donnie Darko,2001
8.0,La doncella,2016
8.0,El odio,1995
8.0,Las diabólicas,1955
8.0,Deseando amar,2000
8.0,Atrapado en el tiempo,1993
8.0,El mago de Oz,1939
8.0,Criadas y señoras,2011
8.0,Tiburón,1975
8.0,Antes del atardecer,2004
8.0,Las noches de Cabiria,1957
8.0,El castillo en el cielo,1986
8.0,"París, Texas",1984
8.0,Guardianes de la galaxia,2014
8.0,Piratas del Caribe: La maldición de la Perla Negra,2003
8.0,Los mejores años de nuestra vida,1946
8.0,La bella y la bestia,1991
8.0,El exorcista,1973
8.0,PK,2014
8.0,Tres colores: Rojo,1994
8.0,Winter Sleep (Sueño de invierno),2014
8.0,Gangs of Wasseypur,2012
8.0,Akira,1988
